Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  7.45     52.29    52.29                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4235 @ 8056cf5)
  0.34    548.03     2.36                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1584 @ 804def3)
  0.33    550.35     2.33                             distinguishable(double, double) (subroutines.cc:192 @ 8049caf)
  0.33    552.65     2.30                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1589 @ 804df7e)
  0.32    554.92     2.27                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4287 @ 8056fe3)
  0.32    557.17     2.25                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4480 @ 80579e0)
  0.32    559.39     2.22                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1606 @ 804e00e)
  0.31    561.60     2.21                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1589 @ 804df3b)
  0.31    563.77     2.17                             BoxClass::~BoxClass() (subroutines.cc:663 @ 804af5f)
  0.27    565.69     1.93 97219734    19.80    19.80  distinguishable(double, double) (subroutines.cc:180 @ 8049bf4)
  0.27    567.59     1.90                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4356 @ 80572b9)
  0.27    569.48     1.89                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1603 @ 804dfd8)
  0.24    571.16     1.68                             SpaceClass::init() (subroutines.cc:2771 @ 80527c3)
  0.24    572.82     1.67                             distinguishable(double, double) (subroutines.cc:188 @ 8049c51)
  0.24    574.48     1.66                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4224 @ 8056c2f)
  0.23    576.12     1.64                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4255 @ 8056e71)
  0.23    577.74     1.62                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4420 @ 8057621)
  0.23    579.32     1.58                             SpaceClass::init() (subroutines.cc:2758 @ 80525dd)
  0.22    580.85     1.53                             distinguishable(double, double) (subroutines.cc:187 @ 8049c3e)
  0.21    582.34     1.49                             SpaceClass::init() (subroutines.cc:2772 @ 80527ec)
  0.21    583.82     1.49                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1599 @ 804dfb1)
  0.21    585.29     1.47                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3982 @ 805626a)
  0.21    586.73     1.44                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3992 @ 8056368)
  0.20    588.14     1.41                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4346 @ 8057208)
  0.20    589.52     1.38                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4418 @ 80575c5)
  0.18    590.80     1.28                             distinguishable(double, double) (subroutines.cc:183 @ 8049c0b)
  0.18    592.07     1.27                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3654 @ 80554f2)
  0.17    593.28     1.21                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:366 @ 804a0ae)
  0.17    594.47     1.19                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3970 @ 80561da)
  0.17    595.65     1.18                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:446 @ 804a8dd)
  0.17    596.82     1.17                             SpaceClass::init() (subroutines.cc:2778 @ 805285a)
  0.17    597.98     1.16                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4338 @ 8057199)
  0.16    599.12     1.14                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4454 @ 8057842)
  0.16    600.25     1.14                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3987 @ 80562e9)
  0.16    601.38     1.13                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4455 @ 8057870)
  0.16    602.51     1.13                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4242 @ 8056d75)
  0.15    603.58     1.07                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1613 @ 804e275)
  0.15    604.61     1.03                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4351 @ 8057257)
  0.14    605.62     1.01                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4442 @ 80577ea)
  0.14    606.59     0.97                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4411 @ 8057544)
  0.14    607.56     0.97                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4481 @ 80579f5)
  0.14    608.51     0.95                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4292 @ 8057022)
  0.13    609.45     0.94                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4419 @ 80575f3)
  0.13    610.39     0.94                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4721 @ 8058708)
  0.13    611.32     0.93                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4421 @ 805764f)
  0.13    612.22     0.90                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4487 @ 8057a2f)
  0.13    613.12     0.90                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3975 @ 805621a)
  0.13    614.01     0.89                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4476 @ 80579d6)
  0.12    614.85     0.84                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3935 @ 8055fdd)
  0.12    615.68     0.83                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4241 @ 8056d6b)
  0.12    616.50     0.82                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3981 @ 80563e7)
  0.12    617.31     0.81                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4364 @ 8057328)
  0.12    618.12     0.81                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:439 @ 804a7b1)
  0.11    618.92     0.80                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4371 @ 805735a)
  0.11    619.72     0.80                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4476 @ 8057959)
  0.11    620.51     0.79                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:466 @ 804a907)
  0.11    621.28     0.77                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4282 @ 8056f9c)
  0.11    622.04     0.76                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4368 @ 805733c)
  0.11    622.80     0.76                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4422 @ 805767d)
  0.11    623.56     0.76                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4453 @ 8057817)
  0.11    624.32     0.76                             ObjectClass::computeNewEdgeLengths() (subroutines.cc:1776 @ 804e9d9)
  0.11    625.07     0.75                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:797 @ 804b4c1)
  0.10    625.80     0.73                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4360 @ 80572f6)
  0.10    626.52     0.72                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:800 @ 804b52d)
  0.10    627.23     0.71                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4452 @ 80577ff)
  0.10    627.94     0.71                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:801 @ 804b54d)
  0.10    628.61     0.68                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:485 @ 804a9ce)
  0.09    629.28     0.67                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1566 @ 804ddb1)
  0.09    629.94     0.66                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:434 @ 804a6bf)
  0.09    630.56     0.62                             biggest(double*, int&) (subroutines.cc:199 @ 8049cbc)
  0.09    631.17     0.61                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4474 @ 8057934)
  0.08    631.75     0.59                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:793 @ 804b5c1)
  0.08    632.33     0.58                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:4018 @ 80564b4)
  0.08    632.90     0.57                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:452 @ 804a8e3)
  0.08    633.47     0.57                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3653 @ 80554b2)
  0.08    634.02     0.55                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:499 @ 804aa62)
  0.08    634.57     0.55                             biggest(double*, int&) (subroutines.cc:201 @ 8049cd2)
  0.08    635.12     0.55                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4408 @ 80574ea)
  0.08    635.67     0.55                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4436 @ 8057730)
  0.08    636.22     0.55                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:802 @ 804b570)
  0.08    636.77     0.55                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:804 @ 804b593)
  0.08    637.31     0.55                             SpaceClass::init() (subroutines.cc:2777 @ 8052838)
  0.08    637.85     0.54                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4474 @ 8057a0d)
  0.08    638.39     0.54                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:441 @ 804a7fd)
  0.08    638.93     0.54                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3908 @ 8055e8c)
  0.07    639.45     0.52                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3933 @ 8055faf)
  0.07    639.96     0.51                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4412 @ 8057560)
  0.07    640.47     0.51                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4482 @ 8057a01)
  0.07    640.98     0.51                             ManipClass::computeVertexEnergyForce(ContainerClass&) (subroutines.cc:4540 @ 8057c8e)
  0.07    641.48     0.51                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4413 @ 805757f)
  0.07    641.98     0.50                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:500 @ 804aa73)
  0.07    642.48     0.50                             ManipClass::collectNicePolygons(ContainerClass&, PolygonClass*, SpaceClass&, double*, int, int*&, int&, int&, int, bool) (subroutines.cc:3650 @ 805549b)
  0.07    642.98     0.50                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4717 @ 80586f0)
  0.07    643.48     0.50                             SpaceClass::init() (subroutines.cc:2743 @ 80524c3)
  0.07    643.98     0.50                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4736 @ 8058808)
  0.07    644.47     0.49                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:436 @ 804a735)
  0.07    644.96     0.49                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4486 @ 8057a1a)
  0.07    645.45     0.49                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4252 @ 8056e29)
  0.07    645.94     0.49                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4791 @ 8058aa8)
  0.07    646.42     0.48 34312701    13.99    13.99  addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:457 @ 804a8ee)
  0.07    646.89     0.47                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4345 @ 8057238)
  0.07    647.36     0.47                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4410 @ 8057525)
  0.07    647.83     0.47                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4337 @ 80571cc)
  0.07    648.29     0.46                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4426 @ 80576df)
  0.07    648.75     0.46                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4407 @ 80577f2)
  0.07    649.21     0.46                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4267 @ 8056ec4)
  0.06    649.65     0.45                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:795 @ 804b4ad)
  0.06    650.09     0.44                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:484 @ 804a9bd)
  0.06    650.53     0.44                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:799 @ 804b508)
  0.06    650.97     0.44 28379695    15.33    15.33  checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:309 @ 8049e70)
  0.06    651.40     0.44                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4724 @ 80587a1)
  0.06    651.82     0.42                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1564 @ 804dd8c)
  0.06    652.23     0.41                             addArrayElement(int*&, int&, int&, int, int) (subroutines.cc:464 @ 804a8fb)
  0.06    652.64     0.41                             ObjectClass::getPolygonCoordinates(int*, double**) (subroutines.cc:1325 @ 804d116)
  0.06    653.05     0.41                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4464 @ 80578bb)
  0.06    653.46     0.41                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:375 @ 804a127)
  0.06    653.86     0.40                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4486 @ 8057a5b)
  0.06    654.26     0.40                             compare_double(void const*, void const*) (subroutines.cc:150 @ 8049b3f)
  0.06    654.65     0.39                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:341 @ 8049ff8)
  0.05    655.03     0.39                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3991 @ 8056363)
  0.05    655.41     0.38                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4355 @ 80572a4)
  0.05    655.78     0.37                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4286 @ 8056fd4)
  0.05    656.15     0.37                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4723 @ 8058767)
  0.05    656.52     0.37                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:4020 @ 805650f)
  0.05    656.89     0.37                             SpaceClass::checkBoxOverlap(double**, int, bool*) (subroutines.cc:3234 @ 8053eaf)
  0.05    657.26     0.37                             ManipClass::setPolygonIntersection(ContainerClass&, PolygonClass*, SpaceClass&) (subroutines.cc:4790 @ 8058a97)
  0.05    657.62     0.36                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3897 @ 8055e27)
  0.05    657.97     0.36                             checkLinePolygonIntersection(double**, double*, double (*) [3], bool*, bool*, bool*) (subroutines.cc:377 @ 804a12d)
  0.05    658.33     0.36                             biggest(double*, int&) (subroutines.cc:204 @ 8049ce8)
  0.05    658.68     0.36                             PolygonClass::checkPolygonEdgePolygonIntersection(double**, int (*) [2], double*, double**, int, int) (subroutines.cc:798 @ 804b4e3)
  0.05    659.03     0.35                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4361 @ 805730f)
  0.05    659.38     0.35                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4409 @ 8057506)
  0.05    659.73     0.35                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4452 @ 80578a6)
  0.05    660.08     0.35                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3911 @ 8055ea6)
  0.05    660.42     0.35                             ObjectClass::findNeighborhoodVertices() (subroutines.cc:1564 @ 804ddc5)
  0.05    660.75     0.33                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4350 @ 805729a)
  0.05    661.08     0.33                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4345 @ 80571f3)
  0.05    661.41     0.33                             ManipClass::findClosestVertex(ContainerClass&, PolygonClass*, SpaceClass&, int, int) (subroutines.cc:4199 @ 8056ad9)
  0.05    661.73     0.32                             ObjectClass::getPolygonCoordinates(int*, double**) (subroutines.cc:1323 @ 804d0d4)
  0.05    662.05     0.32                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4407 @ 80574d2)
  0.05    662.37     0.32                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4464 @ 8057920)
  0.05    662.69     0.32                             ObjectClass::getPolygonCoordinates(int*, double**) (subroutines.cc:1324 @ 804d0f2)
  0.04    663.00     0.32                             ManipClass::checkPolygonPolygonIntersections(ContainerClass&, PolygonClass*, int, int) (subroutines.cc:3912 @ 8055ec4)
  0.04    663.32     0.32                             recordTime(std::basic_ofstream<char, std::char_traits<char> >&, long, char*) (subroutines.cc:174 @ 8049bf2)
  0.04    663.63     0.31                             ManipClass::computeClosest(ContainerClass&, PolygonClass*, SpaceClass&, int, double*, double*) (subroutines.cc:4337 @ 8057184)
